cluster_id,cluster_size
0,22
1,230
2,2576
3,13
4,15
5,15
6,68
7,86
8,48
9,6
10,11
11,41
12,46
13,41
14,4
15,9
16,3
17,26
18,25
19,57
20,19
21,19
22,12
23,8
24,30
25,51
26,66
27,63
28,30
29,8
30,4
31,15
32,3
33,45
34,5
35,21
36,2
37,2
38,9
39,8
40,5
41,69
42,14
43,4
44,10
45,3
46,2
47,6
48,2
49,3
50,13
51,4
52,3
53,7
54,8
55,23
56,2
57,2
58,2
59,7
60,17
61,18
62,3
63,2
64,2
65,2
66,5
67,13
68,4
69,23
70,27
71,4
72,9
73,11
74,23
75,2
76,4
77,2
78,18
79,11
80,2
81,12
82,34
83,31
84,3
85,5
86,3
87,4
88,7
89,2
90,4
91,3
92,10
93,3
94,2
95,4
96,2
97,11
98,24
99,3
100,13
101,5
102,3
103,3
104,2
105,3
106,6
107,2
108,2
109,19
110,3
111,2
112,5
113,5
114,4
115,2
116,3
117,4
118,2
119,6
120,16
121,3
122,3
123,2
124,2
125,5
126,3
127,3
128,2
129,2
130,2
131,2
132,2
