i,j,w
20460695,2466449297,4.29
20460696,1326821525,5.468
20460696,1939632526,10.466
20460697,1081508186,4.022
20625793,6301948477,7.544
20625800,9694032609,5.332
20625800,9694032608,5.334
20626282,5189042552,7.291
20626301,9856119647,6.314
20626301,7824747301,13.094
20626307,1852996517,25.2
20626310,3796814729,4.345
20626311,3796814729,8.629
20626311,109411,25.59
20626311,4866475725,22.901
20626312,1536948631,6.366
20626312,4866475730,5.351
20626315,7572522492,1.994
20626315,25505670,11.427
20626315,1536948487,20.069
20626316,7572522513,11.715
20955158,9197326420,4.001
20955158,1360122917,10.485
20955164,264824452,10.223
20955166,262078536,55.298
20955167,367074596,119.206
20955168,20955166,122.744
20955169,25161372,37.498
20955170,20955168,141.822
20965794,1649365881,3.353
20965796,1215563878,5.76
20965797,2398924845,5.416
20965797,373364225,6.594
20965798,6369329170,32.052
20965799,6369329160,9.454
20965799,2398924853,9.41
20965800,20965798,12.217
20965801,2398924898,1.613
20965801,3519872213,35.285
20965803,5475684917,12.205
20965803,7553887509,18.293
20965803,6369329163,13.11
20965804,1813618497,1.723
20965805,4369519227,15.044
20965806,20965805,4.727
21307200,6985379285,11.622
21307200,18393873,14.709
21307200,9030155753,4.527
21307201,873809385,17.617
21307202,5041945481,13.786
21392267,1617596619,73.801
21392267,25524297,7.396
21392267,3328228994,1.114
21392272,3972566713,34.189
21392272,1707790074,20.925
21392273,1707790076,21.254
21392273,3972566713,7.734
21392273,4859246420,8.029
21392276,4156336279,39.229
21392276,9856119623,9.799
21392276,5603454626,43.225
21392278,21563788,41.057
21392278,6828921211,14.162
21392279,21686578,46.082
21392279,5603454625,6.348
21392279,9201323561,28.072
21523714,6218501715,9.167
21523714,6218501717,4.16
21523714,6465896909,5.54
21523715,4195103055,9.768
21523716,9694087360,24.096
21523718,1014649631,3.28
21523718,8318757605,50.754
21523719,5573991659,2.387
21563479,21563791,4.096
21563479,1707790096,7.133
21563481,1707790085,7.234
21563489,4719617974,3.917
21563503,1617596669,15.023
21563508,8373690831,3.735
21563788,5907366887,32.748
21563788,21392278,41.057
21563791,8373690827,7.317
21578454,9659603285,9.136
21578459,26678167,9.863
21578459,25495640,8.741
21578461,9748953621,17.068
21583342,25496777,65.36
21583366,1419565097,2.741
21583366,4017328647,3.606
21685481,269547420,11.1
21685481,1837610895,3.633
21685483,4331121754,1.792
21685484,25500246,30.088
21685484,1236791433,10.709
21685484,4370333637,21.024
21685485,4370333627,20.999
21685485,4370333648,11.717
21686572,4462683090,4.56
21686572,21686574,24.042
21686572,338474265,51.408
21686573,4462683090,36.309
21686574,4462680070,4.608
21686574,9203541612,20.847
21686574,21686572,24.042
21686575,4462680070,52.807
21686578,21392279,46.082
21990614,1493676622,6.005
21990614,2496836303,36.697
21990620,9375170326,12.259
21990620,9375170325,17.657
21990620,9375170324,16.391
21990622,21990623,77.954
21990622,2496836262,46.309
21990622,4556931604,5.873
21990623,2496836231,78.759
21990624,4835108999,12.411
21990625,2003007012,10.326
21990626,9710304460,16.41
21990627,7151566952,40.133
21990627,475396924,8.009
21990628,9030155750,8.671
21990628,9856119639,5.974
21990628,8923643490,4.348
21990628,9030155754,3.533
21990629,5565443389,6.547
21990629,8923643489,1.853
21990630,9808795603,7.07
21990630,5565443390,3.145
21990631,9042025325,4.166
21990632,1718566880,9.127
21990632,9030155751,5.172
21990633,1326821489,4.966
21990634,25497347,9.664
21990637,1938953403,9.382
21990638,1326821465,8.363
21990638,1938953417,2.82
24659709,4866705607,39.325
24659736,1569241807,27.197
24659764,7906964248,7.031
24659907,1046391070,40.514
24659947,1311961990,4.204
24659947,24949780,7.596
24660697,5473273425,23.316
24660863,9693920797,1.121
24661273,2961540,9.918
24661966,1312453954,12.253
24661966,8785024497,26.935
24661966,25544111,10.4
24662037,1312453966,12.505
24662037,1312454066,13.03
24662037,109788,47.805
24662533,25532542,48.087
24949776,8869435266,51.317
24949780,6948380395,23.895
24949780,24659947,7.596
24950005,24950013,1.674
24950005,5095547184,9.169
24950013,24950048,14.576
24950013,24950005,1.674
24950048,24950013,14.576
24950050,2389802904,1.561
24950051,1951616325,31.018
24950064,24660697,19.896
24950064,5218844446,1.749
24950065,5227220845,2.666
24950065,5218844445,18.782
24950093,8869435257,10.693
24950093,4866976614,30.869
24950097,9024139130,12.973
24950097,8807429664,5.717
24950101,5925584203,4.514
24950101,2961557,12.544
24950101,8807431560,7.322
24950102,24950105,12.561
24950102,5925584203,20.387
24950104,25248113,24.135
24950105,4835108995,25.508
24950105,24950102,12.561
24950105,5095547321,4.204
24950107,2195965723,58.796
24950107,25248114,9.64
24950109,2961549,43.316
24950109,2961540,12.732
