,level0,node_id0,cluster_id0,cluster_size0,level1,node_id1,cluster_id1,cluster_size1,level2,node_id2,cluster_id2,cluster_size2,level3,node_id3,cluster_id3,cluster_size3,level4,node_id4,cluster_id4,cluster_size4,level5,node_id5,cluster_id5,cluster_size5,level6,node_id6,cluster_id6,cluster_size6
87,0.0,25477148.0,56.0,63.0,1.0,25477148.0,53.0,63.0,2.0,25477148.0,30.0,66.0,3.0,25477148.0,26.0,66.0,4.0,25477148.0,24.0,66.0,5.0,25477148.0,1.0,3192.0,6,25477148,1,3489
88,0.0,6509584414.0,99.0,14.0,1.0,6509584414.0,92.0,14.0,2.0,6509584414.0,48.0,14.0,3.0,6509584414.0,42.0,14.0,4.0,6509584414.0,38.0,14.0,5.0,6509584414.0,34.0,18.0,6,6509584414,1,3489
89,0.0,25477149.0,31.0,41.0,1.0,25477149.0,29.0,41.0,2.0,25477149.0,16.0,41.0,3.0,25477149.0,13.0,41.0,4.0,25477149.0,12.0,41.0,5.0,25477149.0,11.0,41.0,6,25477149,1,3489
90,0.0,2293833760.0,17.0,397.0,1.0,2293833760.0,2.0,786.0,2.0,2293833760.0,2.0,1174.0,3.0,2293833760.0,2.0,2576.0,4.0,2293833760.0,2.0,2833.0,5.0,2293833760.0,1.0,3192.0,6,2293833760,1,3489
91,0.0,25477153.0,31.0,41.0,1.0,25477153.0,29.0,41.0,2.0,25477153.0,16.0,41.0,3.0,25477153.0,13.0,41.0,4.0,25477153.0,12.0,41.0,5.0,25477153.0,11.0,41.0,6,25477153,1,3489
92,0.0,25477154.0,31.0,41.0,1.0,25477154.0,29.0,41.0,2.0,25477154.0,16.0,41.0,3.0,25477154.0,13.0,41.0,4.0,25477154.0,12.0,41.0,5.0,25477154.0,11.0,41.0,6,25477154,1,3489
93,0.0,2293833763.0,17.0,397.0,1.0,2293833763.0,2.0,786.0,2.0,2293833763.0,2.0,1174.0,3.0,2293833763.0,2.0,2576.0,4.0,2293833763.0,2.0,2833.0,5.0,2293833763.0,1.0,3192.0,6,2293833763,1,3489
94,0.0,25477156.0,31.0,41.0,1.0,25477156.0,29.0,41.0,2.0,25477156.0,16.0,41.0,3.0,25477156.0,13.0,41.0,4.0,25477156.0,12.0,41.0,5.0,25477156.0,11.0,41.0,6,25477156,1,3489
95,0.0,25477152.0,31.0,41.0,1.0,25477152.0,29.0,41.0,2.0,25477152.0,16.0,41.0,3.0,25477152.0,13.0,41.0,4.0,25477152.0,12.0,41.0,5.0,25477152.0,11.0,41.0,6,25477152,1,3489
96,0.0,25067558.0,105.0,9.0,1.0,25067558.0,97.0,13.0,2.0,25067558.0,4.0,1236.0,3.0,25067558.0,2.0,2576.0,4.0,25067558.0,2.0,2833.0,5.0,25067558.0,1.0,3192.0,6,25067558,1,3489
97,0.0,25477151.0,31.0,41.0,1.0,25477151.0,29.0,41.0,2.0,25477151.0,16.0,41.0,3.0,25477151.0,13.0,41.0,4.0,25477151.0,12.0,41.0,5.0,25477151.0,11.0,41.0,6,25477151,1,3489
98,0.0,7815143465.0,32.0,53.0,1.0,7815143465.0,30.0,53.0,2.0,7815143465.0,4.0,1236.0,3.0,7815143465.0,2.0,2576.0,4.0,7815143465.0,2.0,2833.0,5.0,7815143465.0,1.0,3192.0,6,7815143465,1,3489
99,0.0,2218344498.0,7.0,253.0,1.0,2218344498.0,7.0,261.0,2.0,2218344498.0,4.0,1236.0,3.0,2218344498.0,2.0,2576.0,4.0,2218344498.0,2.0,2833.0,5.0,2218344498.0,1.0,3192.0,6,2218344498,1,3489
100,0.0,7815533546.0,165.0,16.0,1.0,7815533546.0,154.0,16.0,2.0,7815533546.0,87.0,18.0,3.0,7815533546.0,78.0,18.0,4.0,7815533546.0,2.0,2833.0,5.0,7815533546.0,1.0,3192.0,6,7815533546,1,3489
101,0.0,2218344501.0,7.0,253.0,1.0,2218344501.0,7.0,261.0,2.0,2218344501.0,4.0,1236.0,3.0,2218344501.0,2.0,2576.0,4.0,2218344501.0,2.0,2833.0,5.0,2218344501.0,1.0,3192.0,6,2218344501,1,3489
102,0.0,27459638.0,73.0,108.0,1.0,27459638.0,70.0,108.0,2.0,27459638.0,4.0,1236.0,3.0,27459638.0,2.0,2576.0,4.0,27459638.0,2.0,2833.0,5.0,27459638.0,1.0,3192.0,6,27459638,1,3489
103,0.0,2218344503.0,7.0,253.0,1.0,2218344503.0,7.0,261.0,2.0,2218344503.0,4.0,1236.0,3.0,2218344503.0,2.0,2576.0,4.0,2218344503.0,2.0,2833.0,5.0,2218344503.0,1.0,3192.0,6,2218344503,1,3489
104,0.0,2218344505.0,7.0,253.0,1.0,2218344505.0,7.0,261.0,2.0,2218344505.0,4.0,1236.0,3.0,2218344505.0,2.0,2576.0,4.0,2218344505.0,2.0,2833.0,5.0,2218344505.0,1.0,3192.0,6,2218344505,1,3489
105,0.0,2218344508.0,7.0,253.0,1.0,2218344508.0,7.0,261.0,2.0,2218344508.0,4.0,1236.0,3.0,2218344508.0,2.0,2576.0,4.0,2218344508.0,2.0,2833.0,5.0,2218344508.0,1.0,3192.0,6,2218344508,1,3489
106,0.0,2218344509.0,7.0,253.0,1.0,2218344509.0,7.0,261.0,2.0,2218344509.0,4.0,1236.0,3.0,2218344509.0,2.0,2576.0,4.0,2218344509.0,2.0,2833.0,5.0,2218344509.0,1.0,3192.0,6,2218344509,1,3489
107,0.0,2218344510.0,7.0,253.0,1.0,2218344510.0,7.0,261.0,2.0,2218344510.0,4.0,1236.0,3.0,2218344510.0,2.0,2576.0,4.0,2218344510.0,2.0,2833.0,5.0,2218344510.0,1.0,3192.0,6,2218344510,1,3489
108,0.0,2218344511.0,7.0,253.0,1.0,2218344511.0,7.0,261.0,2.0,2218344511.0,4.0,1236.0,3.0,2218344511.0,2.0,2576.0,4.0,2218344511.0,2.0,2833.0,5.0,2218344511.0,1.0,3192.0,6,2218344511,1,3489
109,0.0,7815533548.0,165.0,16.0,1.0,7815533548.0,154.0,16.0,2.0,7815533548.0,87.0,18.0,3.0,7815533548.0,78.0,18.0,4.0,7815533548.0,2.0,2833.0,5.0,7815533548.0,1.0,3192.0,6,7815533548,1,3489
110,0.0,2218344516.0,7.0,253.0,1.0,2218344516.0,7.0,261.0,2.0,2218344516.0,4.0,1236.0,3.0,2218344516.0,2.0,2576.0,4.0,2218344516.0,2.0,2833.0,5.0,2218344516.0,1.0,3192.0,6,2218344516,1,3489
111,,,,,,,,,,,,,,,,,,,,,,,,,6,213672005,1,3489
112,0.0,9197322310.0,65.0,29.0,1.0,9197322310.0,63.0,29.0,2.0,9197322310.0,37.0,45.0,3.0,9197322310.0,33.0,45.0,4.0,9197322310.0,2.0,2833.0,5.0,9197322310.0,1.0,3192.0,6,9197322310,1,3489
113,0.0,4665352262.0,119.0,23.0,1.0,4665352262.0,110.0,23.0,2.0,4665352262.0,62.0,23.0,3.0,4665352262.0,55.0,23.0,4.0,4665352262.0,2.0,2833.0,5.0,4665352262.0,1.0,3192.0,6,4665352262,1,3489
114,0.0,4665352264.0,119.0,23.0,1.0,4665352264.0,110.0,23.0,2.0,4665352264.0,62.0,23.0,3.0,4665352264.0,55.0,23.0,4.0,4665352264.0,2.0,2833.0,5.0,4665352264.0,1.0,3192.0,6,4665352264,1,3489
115,0.0,262078536.0,24.0,54.0,1.0,262078536.0,22.0,54.0,2.0,262078536.0,2.0,1174.0,3.0,262078536.0,2.0,2576.0,4.0,262078536.0,2.0,2833.0,5.0,262078536.0,1.0,3192.0,6,262078536,1,3489
116,0.0,2218344522.0,7.0,253.0,1.0,2218344522.0,7.0,261.0,2.0,2218344522.0,4.0,1236.0,3.0,2218344522.0,2.0,2576.0,4.0,2218344522.0,2.0,2833.0,5.0,2218344522.0,1.0,3192.0,6,2218344522,1,3489
117,0.0,2218344518.0,7.0,253.0,1.0,2218344518.0,7.0,261.0,2.0,2218344518.0,4.0,1236.0,3.0,2218344518.0,2.0,2576.0,4.0,2218344518.0,2.0,2833.0,5.0,2218344518.0,1.0,3192.0,6,2218344518,1,3489
118,0.0,6345441358.0,165.0,16.0,1.0,6345441358.0,154.0,16.0,2.0,6345441358.0,87.0,18.0,3.0,6345441358.0,78.0,18.0,4.0,6345441358.0,2.0,2833.0,5.0,6345441358.0,1.0,3192.0,6,6345441358,1,3489
119,0.0,7815143503.0,32.0,53.0,1.0,7815143503.0,30.0,53.0,2.0,7815143503.0,4.0,1236.0,3.0,7815143503.0,2.0,2576.0,4.0,7815143503.0,2.0,2833.0,5.0,7815143503.0,1.0,3192.0,6,7815143503,1,3489
120,0.0,7911243856.0,13.0,42.0,1.0,7911243856.0,13.0,42.0,2.0,7911243856.0,8.0,43.0,3.0,7911243856.0,7.0,86.0,4.0,7911243856.0,2.0,2833.0,5.0,7911243856.0,1.0,3192.0,6,7911243856,1,3489
121,0.0,7911243857.0,13.0,42.0,1.0,7911243857.0,13.0,42.0,2.0,7911243857.0,8.0,43.0,3.0,7911243857.0,7.0,86.0,4.0,7911243857.0,2.0,2833.0,5.0,7911243857.0,1.0,3192.0,6,7911243857,1,3489
122,0.0,7911243858.0,13.0,42.0,1.0,7911243858.0,13.0,42.0,2.0,7911243858.0,8.0,43.0,3.0,7911243858.0,7.0,86.0,4.0,7911243858.0,2.0,2833.0,5.0,7911243858.0,1.0,3192.0,6,7911243858,1,3489
123,0.0,3673602993.0,32.0,53.0,1.0,3673602993.0,30.0,53.0,2.0,3673602993.0,4.0,1236.0,3.0,3673602993.0,2.0,2576.0,4.0,3673602993.0,2.0,2833.0,5.0,3673602993.0,1.0,3192.0,6,3673602993,1,3489
124,0.0,1718566997.0,229.0,3.0,1.0,1718566997.0,213.0,3.0,2.0,1718566997.0,91.0,34.0,3.0,1718566997.0,82.0,34.0,4.0,1718566997.0,69.0,34.0,5.0,1718566997.0,61.0,34.0,6,1718566997,1,3489
125,0.0,7911243861.0,13.0,42.0,1.0,7911243861.0,13.0,42.0,2.0,7911243861.0,8.0,43.0,3.0,7911243861.0,7.0,86.0,4.0,7911243861.0,2.0,2833.0,5.0,7911243861.0,1.0,3192.0,6,7911243861,1,3489
126,0.0,25632855.0,2.0,277.0,1.0,25632855.0,2.0,786.0,2.0,25632855.0,2.0,1174.0,3.0,25632855.0,2.0,2576.0,4.0,25632855.0,2.0,2833.0,5.0,25632855.0,1.0,3192.0,6,25632855,1,3489
127,0.0,25632856.0,2.0,277.0,1.0,25632856.0,2.0,786.0,2.0,25632856.0,2.0,1174.0,3.0,25632856.0,2.0,2576.0,4.0,25632856.0,2.0,2833.0,5.0,25632856.0,1.0,3192.0,6,25632856,1,3489
128,0.0,25632857.0,2.0,277.0,1.0,25632857.0,2.0,786.0,2.0,25632857.0,2.0,1174.0,3.0,25632857.0,2.0,2576.0,4.0,25632857.0,2.0,2833.0,5.0,25632857.0,1.0,3192.0,6,25632857,1,3489
129,0.0,25632858.0,2.0,277.0,1.0,25632858.0,2.0,786.0,2.0,25632858.0,2.0,1174.0,3.0,25632858.0,2.0,2576.0,4.0,25632858.0,2.0,2833.0,5.0,25632858.0,1.0,3192.0,6,25632858,1,3489
130,0.0,25632859.0,2.0,277.0,1.0,25632859.0,2.0,786.0,2.0,25632859.0,2.0,1174.0,3.0,25632859.0,2.0,2576.0,4.0,25632859.0,2.0,2833.0,5.0,25632859.0,1.0,3192.0,6,25632859,1,3489
131,0.0,7911243863.0,13.0,42.0,1.0,7911243863.0,13.0,42.0,2.0,7911243863.0,8.0,43.0,3.0,7911243863.0,7.0,86.0,4.0,7911243863.0,2.0,2833.0,5.0,7911243863.0,1.0,3192.0,6,7911243863,1,3489
132,0.0,28418138.0,168.0,19.0,1.0,28418138.0,157.0,19.0,2.0,28418138.0,4.0,1236.0,3.0,28418138.0,2.0,2576.0,4.0,28418138.0,2.0,2833.0,5.0,28418138.0,1.0,3192.0,6,28418138,1,3489
133,0.0,25632862.0,2.0,277.0,1.0,25632862.0,2.0,786.0,2.0,25632862.0,2.0,1174.0,3.0,25632862.0,2.0,2576.0,4.0,25632862.0,2.0,2833.0,5.0,25632862.0,1.0,3192.0,6,25632862,1,3489
134,0.0,25632863.0,163.0,6.0,1.0,25632863.0,152.0,6.0,2.0,25632863.0,2.0,1174.0,3.0,25632863.0,2.0,2576.0,4.0,25632863.0,2.0,2833.0,5.0,25632863.0,1.0,3192.0,6,25632863,1,3489
135,0.0,25632864.0,163.0,6.0,1.0,25632864.0,152.0,6.0,2.0,25632864.0,2.0,1174.0,3.0,25632864.0,2.0,2576.0,4.0,25632864.0,2.0,2833.0,5.0,25632864.0,1.0,3192.0,6,25632864,1,3489
136,0.0,25632865.0,163.0,6.0,1.0,25632865.0,152.0,6.0,2.0,25632865.0,2.0,1174.0,3.0,25632865.0,2.0,2576.0,4.0,25632865.0,2.0,2833.0,5.0,25632865.0,1.0,3192.0,6,25632865,1,3489
137,0.0,1718567007.0,229.0,3.0,1.0,1718567007.0,213.0,3.0,2.0,1718567007.0,91.0,34.0,3.0,1718567007.0,82.0,34.0,4.0,1718567007.0,69.0,34.0,5.0,1718567007.0,61.0,34.0,6,1718567007,1,3489
138,0.0,28418144.0,8.0,80.0,1.0,28418144.0,8.0,80.0,2.0,28418144.0,4.0,1236.0,3.0,28418144.0,2.0,2576.0,4.0,28418144.0,2.0,2833.0,5.0,28418144.0,1.0,3192.0,6,28418144,1,3489
139,0.0,28418141.0,168.0,19.0,1.0,28418141.0,157.0,19.0,2.0,28418141.0,4.0,1236.0,3.0,28418141.0,2.0,2576.0,4.0,28418141.0,2.0,2833.0,5.0,28418141.0,1.0,3192.0,6,28418141,1,3489
140,0.0,2642878568.0,40.0,68.0,1.0,2642878568.0,38.0,68.0,2.0,2642878568.0,4.0,1236.0,3.0,2642878568.0,2.0,2576.0,4.0,2642878568.0,2.0,2833.0,5.0,2642878568.0,1.0,3192.0,6,2642878568,1,3489
141,0.0,2642878569.0,40.0,68.0,1.0,2642878569.0,38.0,68.0,2.0,2642878569.0,4.0,1236.0,3.0,2642878569.0,2.0,2576.0,4.0,2642878569.0,2.0,2833.0,5.0,2642878569.0,1.0,3192.0,6,2642878569,1,3489
142,0.0,25477228.0,32.0,53.0,1.0,25477228.0,30.0,53.0,2.0,25477228.0,4.0,1236.0,3.0,25477228.0,2.0,2576.0,4.0,25477228.0,2.0,2833.0,5.0,25477228.0,1.0,3192.0,6,25477228,1,3489
143,0.0,6124650606.0,149.0,32.0,1.0,6124650606.0,140.0,44.0,2.0,6124650606.0,1.0,230.0,3.0,6124650606.0,1.0,230.0,4.0,6124650606.0,1.0,230.0,5.0,6124650606.0,1.0,3192.0,6,6124650606,1,3489
144,0.0,2934268020.0,40.0,68.0,1.0,2934268020.0,38.0,68.0,2.0,2934268020.0,4.0,1236.0,3.0,2934268020.0,2.0,2576.0,4.0,2934268020.0,2.0,2833.0,5.0,2934268020.0,1.0,3192.0,6,2934268020,1,3489
145,0.0,25067636.0,105.0,9.0,1.0,25067636.0,97.0,13.0,2.0,25067636.0,4.0,1236.0,3.0,25067636.0,2.0,2576.0,4.0,25067636.0,2.0,2833.0,5.0,25067636.0,1.0,3192.0,6,25067636,1,3489
146,0.0,7815143559.0,32.0,53.0,1.0,7815143559.0,30.0,53.0,2.0,7815143559.0,4.0,1236.0,3.0,7815143559.0,2.0,2576.0,4.0,7815143559.0,2.0,2833.0,5.0,7815143559.0,1.0,3192.0,6,7815143559,1,3489
147,0.0,25477258.0,32.0,53.0,1.0,25477258.0,30.0,53.0,2.0,25477258.0,4.0,1236.0,3.0,25477258.0,2.0,2576.0,4.0,25477258.0,2.0,2833.0,5.0,25477258.0,1.0,3192.0,6,25477258,1,3489
148,0.0,25067670.0,105.0,9.0,1.0,25067670.0,97.0,13.0,2.0,25067670.0,4.0,1236.0,3.0,25067670.0,2.0,2576.0,4.0,25067670.0,2.0,2833.0,5.0,25067670.0,1.0,3192.0,6,25067670,1,3489
149,0.0,350437528.0,71.0,25.0,1.0,350437528.0,68.0,26.0,2.0,350437528.0,1.0,230.0,3.0,350437528.0,1.0,230.0,4.0,350437528.0,1.0,230.0,5.0,350437528.0,1.0,3192.0,6,350437528,1,3489
150,0.0,3381130086.0,7.0,253.0,1.0,3381130086.0,7.0,261.0,2.0,3381130086.0,4.0,1236.0,3.0,3381130086.0,2.0,2576.0,4.0,3381130086.0,2.0,2833.0,5.0,3381130086.0,1.0,3192.0,6,3381130086,1,3489
151,0.0,7815143581.0,32.0,53.0,1.0,7815143581.0,30.0,53.0,2.0,7815143581.0,4.0,1236.0,3.0,7815143581.0,2.0,2576.0,4.0,7815143581.0,2.0,2833.0,5.0,7815143581.0,1.0,3192.0,6,7815143581,1,3489
152,0.0,8785567902.0,17.0,397.0,1.0,8785567902.0,2.0,786.0,2.0,8785567902.0,2.0,1174.0,3.0,8785567902.0,2.0,2576.0,4.0,8785567902.0,2.0,2833.0,5.0,8785567902.0,1.0,3192.0,6,8785567902,1,3489
153,0.0,1312188689.0,31.0,41.0,1.0,1312188689.0,29.0,41.0,2.0,1312188689.0,16.0,41.0,3.0,1312188689.0,13.0,41.0,4.0,1312188689.0,12.0,41.0,5.0,1312188689.0,11.0,41.0,6,1312188689,1,3489
154,0.0,367100073.0,17.0,397.0,1.0,367100073.0,2.0,786.0,2.0,367100073.0,2.0,1174.0,3.0,367100073.0,2.0,2576.0,4.0,367100073.0,2.0,2833.0,5.0,367100073.0,1.0,3192.0,6,367100073,1,3489
