,cluster_id0,cluster_id1,cluster_id2,cluster_id3,cluster_id4,cluster_id5,cluster_id6
64,2.0,2.0,2.0,2.0,2.0,1.0,1
65,2.0,2.0,2.0,2.0,2.0,1.0,1
66,66.0,64.0,2.0,2.0,2.0,1.0,1
67,20.0,18.0,2.0,2.0,2.0,1.0,1
68,20.0,18.0,2.0,2.0,2.0,1.0,1
69,20.0,18.0,2.0,2.0,2.0,1.0,1
70,20.0,18.0,2.0,2.0,2.0,1.0,1
71,66.0,64.0,2.0,2.0,2.0,1.0,1
72,2.0,2.0,2.0,2.0,2.0,1.0,1
73,2.0,2.0,2.0,2.0,2.0,1.0,1
74,2.0,2.0,2.0,2.0,2.0,1.0,1
75,2.0,2.0,2.0,2.0,2.0,1.0,1
76,66.0,64.0,2.0,2.0,2.0,1.0,1
77,2.0,2.0,2.0,2.0,2.0,1.0,1
78,2.0,2.0,2.0,2.0,2.0,1.0,1
79,20.0,18.0,2.0,2.0,2.0,1.0,1
80,2.0,2.0,2.0,2.0,2.0,1.0,1
81,20.0,18.0,2.0,2.0,2.0,1.0,1
82,66.0,64.0,2.0,2.0,2.0,1.0,1
83,20.0,18.0,2.0,2.0,2.0,1.0,1
84,65.0,63.0,37.0,33.0,2.0,1.0,1
85,24.0,22.0,2.0,2.0,2.0,1.0,1
86,24.0,22.0,2.0,2.0,2.0,1.0,1
87,56.0,53.0,30.0,26.0,24.0,1.0,1
88,99.0,92.0,48.0,42.0,38.0,34.0,1
89,31.0,29.0,16.0,13.0,12.0,11.0,1
90,17.0,2.0,2.0,2.0,2.0,1.0,1
91,31.0,29.0,16.0,13.0,12.0,11.0,1
92,31.0,29.0,16.0,13.0,12.0,11.0,1
93,17.0,2.0,2.0,2.0,2.0,1.0,1
94,31.0,29.0,16.0,13.0,12.0,11.0,1
95,31.0,29.0,16.0,13.0,12.0,11.0,1
96,105.0,97.0,4.0,2.0,2.0,1.0,1
97,31.0,29.0,16.0,13.0,12.0,11.0,1
98,32.0,30.0,4.0,2.0,2.0,1.0,1
99,7.0,7.0,4.0,2.0,2.0,1.0,1
100,165.0,154.0,87.0,78.0,2.0,1.0,1
101,7.0,7.0,4.0,2.0,2.0,1.0,1
102,73.0,70.0,4.0,2.0,2.0,1.0,1
