,Cluster,Size,Level
2276,214.0,5.0,5.0
2399,88.0,4.0,5.0
2650,121.0,4.0,5.0
2971,80.0,4.0,5.0
0,2.0,277.0,6.0
2,66.0,18.0,6.0
3,20.0,225.0,6.0
20,65.0,29.0,6.0
21,24.0,54.0,6.0
23,56.0,63.0,6.0
24,99.0,14.0,6.0
25,31.0,41.0,6.0
26,17.0,397.0,6.0
32,105.0,9.0,6.0
34,32.0,53.0,6.0
35,7.0,253.0,6.0
36,165.0,16.0,6.0
38,73.0,108.0,6.0
47,,,
49,119.0,23.0,6.0
56,13.0,42.0,6.0
60,229.0,3.0,6.0
68,168.0,19.0,6.0
70,163.0,6.0,6.0
74,8.0,80.0,6.0
76,40.0,68.0,6.0
79,149.0,32.0,6.0
85,71.0,25.0,6.0
94,19.0,102.0,6.0
96,28.0,15.0,6.0
104,104.0,4.0,6.0
107,162.0,4.0,6.0
110,106.0,4.0,6.0
114,1.0,33.0,6.0
120,12.0,145.0,6.0
121,107.0,29.0,6.0
124,14.0,18.0,6.0
135,69.0,17.0,6.0
139,164.0,18.0,6.0
142,51.0,34.0,6.0
145,175.0,10.0,6.0
162,16.0,98.0,6.0
171,95.0,5.0,6.0
187,53.0,49.0,6.0
188,97.0,9.0,6.0
191,9.0,60.0,6.0
224,48.0,4.0,6.0
236,197.0,4.0,6.0
241,178.0,5.0,6.0
244,169.0,4.0,6.0
257,206.0,24.0,6.0
264,207.0,8.0,6.0
278,52.0,30.0,6.0
281,4.0,25.0,6.0
291,150.0,12.0,6.0
294,90.0,22.0,6.0
296,26.0,21.0,6.0
298,76.0,3.0,6.0
299,18.0,70.0,6.0
301,261.0,4.0,6.0
321,155.0,6.0,6.0
357,120.0,14.0,6.0
378,132.0,18.0,6.0
384,58.0,54.0,6.0
395,42.0,8.0,6.0
402,126.0,52.0,6.0
407,171.0,10.0,6.0
429,6.0,6.0,6.0
441,127.0,11.0,6.0
447,173.0,6.0,6.0
449,44.0,28.0,6.0
451,174.0,3.0,6.0
455,156.0,6.0,6.0
470,15.0,7.0,6.0
477,74.0,17.0,6.0
489,84.0,24.0,6.0
507,268.0,3.0,6.0
510,231.0,3.0,6.0
512,78.0,12.0,6.0
534,189.0,4.0,6.0
555,98.0,13.0,6.0
568,208.0,6.0,6.0
574,237.0,4.0,6.0
577,88.0,11.0,6.0
580,196.0,10.0,6.0
584,240.0,10.0,6.0
631,68.0,19.0,6.0
642,224.0,16.0,6.0
646,36.0,21.0,6.0
691,29.0,10.0,6.0
723,43.0,8.0,6.0
760,144.0,6.0,6.0
779,103.0,12.0,6.0
785,254.0,3.0,6.0
793,86.0,5.0,6.0
806,188.0,6.0,6.0
807,134.0,6.0,6.0
817,186.0,6.0,6.0
819,250.0,3.0,6.0
856,140.0,13.0,6.0
860,225.0,3.0,6.0
863,226.0,6.0,6.0
903,75.0,8.0,6.0
999,49.0,8.0,6.0
1024,121.0,9.0,6.0
1038,241.0,3.0,6.0
1074,232.0,3.0,6.0
1095,152.0,3.0,6.0
1098,153.0,5.0,6.0
1110,67.0,8.0,6.0
1180,151.0,4.0,6.0
1181,180.0,3.0,6.0
1203,47.0,5.0,6.0
1219,118.0,8.0,6.0
1251,87.0,5.0,6.0
1268,131.0,16.0,6.0
1276,154.0,3.0,6.0
1327,54.0,8.0,6.0
1358,85.0,3.0,6.0
1373,37.0,3.0,6.0
1431,172.0,12.0,6.0
1452,93.0,4.0,6.0
1468,190.0,3.0,6.0
1556,109.0,6.0,6.0
1583,198.0,3.0,6.0
1852,203.0,6.0,6.0
2189,100.0,3.0,6.0
2230,179.0,12.0,6.0
2276,230.0,5.0,6.0
2399,91.0,4.0,6.0
2650,130.0,4.0,6.0
2971,83.0,4.0,6.0
