,Child,Parent,Child_Level,Parent_Level
429,6.0,4.0,5.0,4.0
447,162.0,4.0,5.0,4.0
449,41.0,4.0,5.0,4.0
455,145.0,2.0,5.0,4.0
470,15.0,4.0,5.0,4.0
477,71.0,4.0,5.0,4.0
489,81.0,4.0,5.0,4.0
507,248.0,145.0,5.0,4.0
510,215.0,4.0,5.0,4.0
512,75.0,37.0,5.0,4.0
568,193.0,2.0,5.0,4.0
574,220.0,128.0,5.0,4.0
577,85.0,4.0,5.0,4.0
580,182.0,102.0,5.0,4.0
584,223.0,1.0,5.0,4.0
631,65.0,4.0,5.0,4.0
641,,26.0,,4.0
642,208.0,120.0,5.0,4.0
646,34.0,1.0,5.0,4.0
691,27.0,14.0,5.0,4.0
760,135.0,25.0,5.0,4.0
779,96.0,4.0,5.0,4.0
793,83.0,43.0,5.0,4.0
806,175.0,4.0,5.0,4.0
807,125.0,4.0,5.0,4.0
817,173.0,4.0,5.0,4.0
819,233.0,30.0,5.0,4.0
856,131.0,76.0,5.0,4.0
860,209.0,121.0,5.0,4.0
863,210.0,80.0,5.0,4.0
903,72.0,2.0,5.0,4.0
999,46.0,26.0,5.0,4.0
1024,113.0,64.0,5.0,4.0
1035,,1.0,,4.0
1038,224.0,26.0,5.0,4.0
1074,216.0,4.0,5.0,4.0
1095,142.0,80.0,5.0,4.0
1098,143.0,81.0,5.0,4.0
1180,141.0,79.0,5.0,4.0
1181,167.0,94.0,5.0,4.0
1203,44.0,24.0,5.0,4.0
1219,109.0,61.0,5.0,4.0
1251,84.0,4.0,5.0,4.0
1268,122.0,68.0,5.0,4.0
1269,,68.0,,4.0
1327,51.0,4.0,5.0,4.0
1358,82.0,4.0,5.0,4.0
1373,35.0,1.0,5.0,4.0
1431,161.0,91.0,5.0,4.0
1468,176.0,4.0,5.0,4.0
1517,,91.0,,4.0
1555,93.0,49.0,5.0,4.0
1556,100.0,54.0,5.0,4.0
1583,184.0,4.0,5.0,4.0
1631,,123.0,,4.0
1852,189.0,31.0,5.0,4.0
1898,,31.0,,4.0
2186,,87.0,,4.0
2230,166.0,4.0,5.0,4.0
2276,214.0,124.0,5.0,4.0
2364,,29.0,,4.0
2399,88.0,4.0,5.0,4.0
2650,121.0,67.0,5.0,4.0
2971,80.0,4.0,5.0,4.0
0,2.0,2.0,6.0,5.0
2,66.0,64.0,6.0,5.0
3,20.0,18.0,6.0,5.0
20,65.0,63.0,6.0,5.0
21,24.0,22.0,6.0,5.0
23,56.0,53.0,6.0,5.0
24,99.0,92.0,6.0,5.0
25,31.0,29.0,6.0,5.0
26,17.0,2.0,6.0,5.0
32,105.0,97.0,6.0,5.0
34,32.0,30.0,6.0,5.0
35,7.0,7.0,6.0,5.0
36,165.0,154.0,6.0,5.0
38,73.0,70.0,6.0,5.0
47,,,,
49,119.0,110.0,6.0,5.0
56,13.0,13.0,6.0,5.0
60,229.0,213.0,6.0,5.0
68,168.0,157.0,6.0,5.0
70,163.0,152.0,6.0,5.0
74,8.0,8.0,6.0,5.0
76,40.0,38.0,6.0,5.0
79,149.0,140.0,6.0,5.0
85,71.0,68.0,6.0,5.0
94,19.0,17.0,6.0,5.0
96,28.0,26.0,6.0,5.0
